Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.016926708951976597,0.0063126757584112975,5.780869913704607,0.03603716844063376
ZDT2,0.07358374768018237,0.02042953837722614,4.8237768633309726,0.12493043719376995
ZDT3,0.06155263086128393,0.02127549836309252,6.9314122256057145,0.18588425702102834
ZDT4,16.761662884638376,2.996409887948912,0.0,0.0
ZDT6,0.0011654621870772687,8.556315565499477e-05,5.15349910845619,2.481277614215714e-05
WFG1,1.429308460536336,0.019628908795109125,44.830115812153934,0.6728323045771165
WFG2,0.29813012892473323,0.02006055915921685,90.90660833435244,0.49494777532992273
WFG3,0.2937415013575585,0.017044572597146788,63.40258496432213,0.6851215424078405
WFG4,0.23700465190077707,0.0064532569218658286,69.04598342272506,0.40275813800778903
WFG5,0.5294582731016408,0.11050551890512646,53.635380643926034,4.532678515451114
WFG6,0.4030412551372429,0.013412516332530463,60.32264776148022,0.7192331210270234
WFG7,0.4018240370704518,0.005916767453470394,61.73121529736106,0.3078152850517963
WFG8,0.5428079644175384,0.016468440158362015,53.59986858738366,0.705125845232006
WFG9,0.2776955006412177,0.024582365410986174,66.41724219857866,1.2078149855359088
