run,IGD,HV
1,0.4010377228404698,61.1157059477252
2,0.40175329579457253,60.15398652808345
3,0.43166567575300396,59.02545449613827
4,0.41828826007480474,59.604465898182546
5,0.39093120936132797,60.76013023743645
6,0.4118022112417476,60.11650352107495
7,0.40128567277268984,59.75774968339361
8,0.4099792540871491,59.69472093159685
9,0.41273183283785286,59.904961811640526
10,0.40909096488586166,60.08268083855852
11,0.3951851645972579,60.80134411232457
12,0.39776203978379243,59.81108166695006
13,0.42537463605841525,58.700745428603184
14,0.3900081922974899,60.38349839757957
15,0.40650957020888945,60.28365453349541
16,0.3824267195836277,60.868430063306036
17,0.3995018108905355,59.977711982621884
18,0.39417177015029087,60.538105735046024
19,0.3909731242769016,61.79007130358098
20,0.39326584692781413,60.867226702582634
21,0.42351182904850504,60.338513500302795
22,0.4117866708113963,59.385501215832065
23,0.38992763647626316,60.63399356731051
24,0.3968357144414459,60.51756829360494
25,0.39646487000091374,60.40406450771871
26,0.41630430229052506,60.80693906010087
27,0.4022219658973115,61.33032317111094
28,0.41146276532079795,59.86162529375032
29,0.4102564521754592,60.277349685795855
30,0.36872047323017654,61.885324728958906
