run,IGD,HV
1,0.004462479594986385,5.879234590248591
2,0.005616250932380849,5.896802529463877
3,0.004269888272314258,5.883024012260857
4,0.018454247191906505,5.767081660850422
5,0.006414323564442943,5.863854429044981
6,0.009461082826412517,5.820918844406437
7,0.009675558738088117,5.8278770598056
8,0.011963947665745987,5.801075636253806
9,0.006223932307790999,5.845364918000059
10,0.006172036672740691,5.873995635508923
11,0.004981865914696119,5.8891031732295716
12,0.005801151022096142,5.862910538853637
13,0.010976231288486843,5.798872560746219
14,0.007099616542073745,5.842155028358716
15,0.006332043168052687,5.851206156392473
16,0.004441669266280736,5.886479442280744
17,0.004016971216328919,5.902513090937545
18,0.012581639366164275,5.795698245591111
19,0.005467513575077753,5.866842994756618
20,0.004858205735738984,5.878169662397292
21,0.01517240566612357,5.784642774142685
22,0.007489546429251918,5.829887589504253
23,0.010662225998161003,5.80325176407177
24,0.004520564380940489,5.873697875745726
25,0.008954121114809933,5.827733223240823
26,0.013089931098877327,5.800748092108622
27,0.01149355336312583,5.808030969446254
28,0.015219003953651349,5.779882868841393
29,0.011211878457658874,5.809445324932326
30,0.010087544257866938,5.81322463239833
