Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.04429520465085223,0.012978606229315268,5.65089537550906,0.048644748401031994
ZDT2,0.16984817020594364,0.029388678180533836,4.419746505131764,0.10521919010902676
ZDT3,0.11111509137847636,0.034437544905509064,6.612496327578392,0.15058441793954241
ZDT4,15.244640697302792,2.5663168099544333,0.0,0.0
ZDT6,0.0011676123267990975,8.373863117639249e-05,5.153490633307934,2.7679218081857274e-05
WFG1,1.4376510118254335,0.024494275168093074,44.58480365010566,0.7363025807683488
WFG2,0.48911616375980305,0.10693133021610034,82.42918958892893,5.2126407166933015
WFG3,0.2783322698286021,0.019937126429135973,63.803840476297566,0.7852097780334648
WFG4,0.2502578278678885,0.010396030095288238,68.84476139821706,0.5255796798622209
WFG5,0.8856695116083858,0.02569987052980215,39.49383264006016,0.7942590932689166
WFG6,0.4129712739318206,0.018263657135834842,59.70040871774251,0.8532267547022552
WFG7,0.3979615025816409,0.007503389381126603,62.02164475705482,0.35637183960966295
WFG8,0.552183317520534,0.0180290002039414,53.20049272899474,0.9711745242659058
WFG9,0.2667718741595341,0.012825063722708932,66.62957761376366,0.7616931902665101
