Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.008572380986075755,0.0038513028751336865,5.83879084412732,0.03906949548267962
ZDT2,0.003577682901288926,0.004957465208890724,5.550140721871163,0.09733720031027993
ZDT3,0.0268506081441802,0.019256336916450165,7.224655652892969,0.1804581779551001
ZDT4,17.175846732624823,2.8271652271366716,0.0,0.0
ZDT6,0.0011288718236340332,7.385206356141741e-05,5.153498933419503,2.4782068514550005e-05
WFG1,1.4241444525941855,0.016028521541374983,45.09776122725836,0.49299406431356824
WFG2,0.28707151077965526,0.058682443488128296,91.67847461919867,2.4466725737630237
WFG3,0.2811380772017955,0.01604012427474525,63.97995914759214,0.6388940616690442
WFG4,0.23282106401089608,0.008169929256363225,69.44488021717417,0.44452991201080216
WFG5,0.6906061835562097,0.10939805975232697,47.072910210240174,4.317280971767732
WFG6,0.37432077112696,0.016340066529785754,62.04926279437516,1.0014714061831103
WFG7,0.39734477941413393,0.0052992358497704626,62.15008530521198,0.24526830687176185
WFG8,0.4932237178387326,0.017541187576741536,56.10521989026658,0.7810849437020789
WFG9,0.2813892661340287,0.021607873922331548,66.15546113214398,1.143221885772027
