run,IGD,HV
1,16.88044279271565,0.0
2,13.811710250904484,0.0
3,11.831301100399983,0.0
4,13.771554389698906,0.0
5,17.841703345811286,0.0
6,16.247988202577176,0.0
7,13.433902375776517,0.0
8,14.831387105172077,0.0
9,17.791781483222888,0.0
10,16.589309014736738,0.0
11,18.46910989689543,0.0
12,13.104407616743902,0.0
13,17.673218264016047,0.0
14,11.706686180142487,0.0
15,15.355221489815676,0.0
16,13.033293528650724,0.0
17,16.680306792715577,0.0
18,12.46592325440233,0.0
19,15.804551405119517,0.0
20,13.005428067373819,0.0
21,19.359105315617125,0.0
22,18.339999293431983,0.0
23,15.922531574784639,0.0
24,14.774222723104701,0.0
25,20.39564600104863,0.0
26,9.661644909781758,0.0
27,15.081553611410866,0.0
28,12.767619792600387,0.0
29,17.410723211148525,0.0
30,13.296947929263881,0.0
