run,IGD,HV
1,0.23184344876454888,69.48509891279616
2,0.21848556620921739,70.37875344006486
3,0.23759769451088542,69.26006216497305
4,0.2299370731520476,69.55519681227072
5,0.22793416528853108,69.4781317833781
6,0.23450745498407555,68.98956589694521
7,0.23974833688020122,69.2994595690474
8,0.23711652682598874,69.87195458709348
9,0.21968721907974195,70.19835251337808
10,0.23176006587835388,69.35288099184352
11,0.23099451399233062,69.60817328611265
12,0.22967503252606902,69.36206701251204
13,0.23191177645073383,69.15493445040228
14,0.23990259596996366,69.1299607377414
15,0.2535743346266217,69.15782381043688
16,0.224518695695963,70.1091810630297
17,0.23519244641736706,69.70732680589487
18,0.24566629175367563,69.39802543888867
19,0.23895188554457458,68.90527060478198
20,0.23778810606031714,68.78579018108084
21,0.23673186480206856,68.8989001446493
22,0.22163386907805063,69.3332233152171
23,0.23518090578845055,69.22709140018802
24,0.22664199189537704,69.93538699241478
25,0.2446215130617675,68.4713247850522
26,0.23969004460583462,69.30769457742342
27,0.23146046390665495,69.29636589694863
28,0.22056014771018392,70.0154892458779
29,0.22351662223191165,69.65516196550973
30,0.22780126663537584,70.01775812927224
