run,IGD,HV
1,0.0011555670890391312,5.153487653773804
2,0.0012421138755066572,5.1533831543386
3,0.0011267892811296124,5.153502236320855
4,0.0010386308794622832,5.153472262507352
5,0.001196161667023999,5.153469367685605
6,0.001113870101204234,5.153507644493581
7,0.0012396269658161527,5.153514389917527
8,0.0010389505330919814,5.153519378754666
9,0.0012068053007893167,5.1535151905314605
10,0.0012398136746053713,5.1534903117099615
11,0.0011234436554615535,5.153479925076518
12,0.0013157044210590355,5.153461160143515
13,0.001240123627515596,5.153518476877997
14,0.0012832450826974562,5.153519221052805
15,0.001269674216745849,5.153500801343672
16,0.0010478248953329947,5.153516019418588
17,0.0010237880761072692,5.153450663469547
18,0.0011173505210424336,5.153484310602943
19,0.001127158673863483,5.153490043396043
20,0.0011373578094292264,5.153473835296006
21,0.0013538549171989477,5.153498919394592
22,0.001181453970908327,5.153486377230965
23,0.0012366047843584665,5.153504982718912
24,0.0011317646600646856,5.153516337664731
25,0.0011998015055860864,5.153490899254486
26,0.0011178691931103793,5.1535152433845415
27,0.001174261044369123,5.153491814427481
28,0.0010985934552667726,5.153477979030667
29,0.0011502131712859047,5.1535057730642775
30,0.0010999527549005945,5.153474626356337
