Function,IGD_Mean,IGD_Std,HV_Mean,HV_Std
ZDT1,0.00853549197491219,0.0032807054769604317,5.839977982738551,0.0322945517203051
ZDT2,0.0021585112069885783,0.0003935702623135572,5.57729156575652,0.001769489557132714
ZDT3,0.026386347958686673,0.015949956233864613,7.253326702715397,0.14481585228366373
ZDT4,17.38764816147005,2.815259005695849,0.0,0.0
ZDT6,0.0011404044233711411,6.959660022847455e-05,5.153489854658122,3.478319175472903e-05
WFG1,1.4234565164359485,0.016737547980370197,45.12776632577208,0.5115718469017354
WFG2,0.30840017287081883,0.04392003711414999,90.05614908367134,0.8978144508782011
WFG3,0.28898642733921265,0.021808211822237324,63.4733256189619,0.8612903899888121
WFG4,0.23900603103230705,0.008698191935065828,69.01023774722027,0.36693042244387897
WFG5,0.8440824803653251,0.024238934671601143,41.1671252239703,0.863867494416663
WFG6,0.38448231147620404,0.01941989232948018,61.23245809070527,1.119898406293696
WFG7,0.4165421145223237,0.004008115069100931,60.67917999462801,0.17864193359491118
WFG8,0.5905231397801534,0.0189162801519863,51.897238670019284,0.9031130966365288
WFG9,0.28588902599694743,0.018841310439728934,65.8765733691915,0.9645677175513488
